,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
40,frozenset({'Home and kitchen'}),"frozenset({'Electronics', 'Books'})",0.31607433662228185,0.11811476195037839,0.11811476195037839,0.373692983785422,3.1638126988937714,0.0807817169216138,1.4080717846333055,1.0
41,frozenset({'Books'}),"frozenset({'Electronics', 'Home and kitchen'})",0.4764345243797299,0.11811476195037839,0.11811476195037839,0.2479139439026842,2.098924298783553,0.061840811518324844,1.1725855450981935,1.0
42,"frozenset({'Clothing', 'Electronics'})",frozenset({'Footwear'}),0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
43,"frozenset({'Clothing', 'Footwear'})",frozenset({'Electronics'}),0.3896446019733691,0.39050675352045217,0.156432608487403,0.40147510755992627,1.0280874887325082,0.004273759944013883,1.0183256438922001,0.044761027499266116
44,"frozenset({'Electronics', 'Footwear'})",frozenset({'Clothing'}),0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
45,frozenset({'Clothing'}),"frozenset({'Electronics', 'Footwear'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
46,frozenset({'Electronics'}),"frozenset({'Clothing', 'Footwear'})",0.39050675352045217,0.3896446019733691,0.156432608487403,0.40058874034097874,1.0280874887325082,0.004273759944013883,1.0182581461246412,0.044824343687477265
47,frozenset({'Footwear'}),"frozenset({'Clothing', 'Electronics'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
48,"frozenset({'Clothing', 'Electronics', 'Footwear'})",frozenset({'Bags'}),0.156432608487403,0.2700929207778523,0.156432608487403,1.0,3.702429508778152,0.11418126835614209,inf,0.8652623211446742
49,"frozenset({'Bags', 'Clothing', 'Footwear'})",frozenset({'Electronics'}),0.2700929207778523,0.39050675352045217,0.156432608487403,0.5791807057989005,1.4831515731227087,0.05095949884558723,1.4483491010948883,0.44630349250141255
50,"frozenset({'Bags', 'Electronics', 'Footwear'})",frozenset({'Clothing'}),0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
51,"frozenset({'Clothing', 'Electronics', 'Bags'})",frozenset({'Footwear'}),0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
52,"frozenset({'Clothing', 'Footwear'})","frozenset({'Electronics', 'Bags'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
53,"frozenset({'Electronics', 'Footwear'})","frozenset({'Clothing', 'Bags'})",0.156432608487403,0.2700929207778523,0.156432608487403,1.0,3.702429508778152,0.11418126835614209,inf,0.8652623211446742
54,"frozenset({'Bags', 'Footwear'})","frozenset({'Clothing', 'Electronics'})",0.2700929207778523,0.156432608487403,0.156432608487403,0.5791807057989005,3.702429508778152,0.11418126835614209,2.0045834474250035,1.0000000000000002
55,"frozenset({'Clothing', 'Electronics'})","frozenset({'Bags', 'Footwear'})",0.156432608487403,0.2700929207778523,0.156432608487403,1.0,3.702429508778152,0.11418126835614209,inf,0.8652623211446742
56,"frozenset({'Clothing', 'Bags'})","frozenset({'Electronics', 'Footwear'})",0.2700929207778523,0.156432608487403,0.156432608487403,0.5791807057989005,3.702429508778152,0.11418126835614209,2.0045834474250035,1.0000000000000002
57,"frozenset({'Electronics', 'Bags'})","frozenset({'Clothing', 'Footwear'})",0.156432608487403,0.3896446019733691,0.156432608487403,1.0,2.566441303011678,0.09547948701767298,inf,0.7235407676584147
58,frozenset({'Footwear'}),"frozenset({'Clothing', 'Electronics', 'Bags'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
59,frozenset({'Clothing'}),"frozenset({'Bags', 'Electronics', 'Footwear'})",0.3896446019733691,0.156432608487403,0.156432608487403,0.40147510755992627,2.566441303011678,0.09547948701767298,1.4094107065013304,0.9999999999999999
60,frozenset({'Electronics'}),"frozenset({'Bags', 'Clothing', 'Footwear'})",0.39050675352045217,0.2700929207778523,0.156432608487403,0.40058874034097874,1.4831515731227085,0.05095949884558723,1.2177066537544852,0.5344769290553262
61,frozenset({'Bags'}),"frozenset({'Clothing', 'Electronics', 'Footwear'})",0.2700929207778523,0.156432608487403,0.156432608487403,0.5791807057989005,3.702429508778152,0.11418126835614209,2.0045834474250035,1.0000000000000002
